itemid,appno,docname,country_name,country_code,articles,year,judgement_date,applicant_type,has_violation,violation_count,no_violation_count,violated_articles,no_violation_articles,has_mixed_decision,judge_president,judge_count,judge_names_list
001-99610,24202/05,CASE OF VELIYEV v. RUSSIA,Russian Federation,ru,"6, 3, 5, 41",2010,24/06/2010 00:00:00,Individual,True,5,0,"3, 5-1-c, 5-3, 5-4, 6-1",,True,Christos Rozakis,8,Christos Rozakis|Nina Vajić|Anatoly Kovler|Elisabeth Steiner|Khanlar Hajiyev|Dean Spielmann|Sverre Erik Jebens|André Wampach
001-59413,28524/95,CASE OF PEERS v. GREECE,Greece,gr,"6, 3, 8, 41",2001,19/04/2001 00:00:00,Individual,True,2,1,"3, 8",6-2,True,MrA.B. Baka,7,MrA.B. Baka|MrG. Bonello|MrsV. Strážnická|MrP. Lorenzen|MrM. Fischbach|MrE. Levits|MrsC.D. Spinellis
001-72156,75888/01,CASE OF KREUZ v. POLAND (No. 3),Poland,pl,"6, 29, 41",2006,24/01/2006 00:00:00,Individual,True,1,0,6-1,,True,SirNicolas Bratza,8,SirNicolas Bratza|MrJ. Casadevall|MrG. Bonello|MrR. Maruste|MrS. Pavlovschi|MrL. Garlicki|MrJ. Borrego Borrego|Mr M. O’Boyle
001-113335,11828/08,CASE OF TRADE UNION OF THE POLICE IN THE SLOVAK REPUBLIC AND OTHERS v. SLOVAKIA,Slovakia,sk,"35, 34, 11, 10",2012,25/09/2012 00:00:00,Multiple Applicants,False,0,1,,11,True,Josep Casadevall,8,Josep Casadevall|Egbert Myjer|Alvina Gyulumyan|Ján Šikuta|Luis López Guerra|Nona Tsotsoria|Kristina Pardalos| Quesada
001-83083,27966/06,CASE OF ŠOBOTA-GAJIĆ  v. BOSNIA AND HERZEGOVINA,Bosnia and Herzegovina,ba,8,2007,06/11/2007 00:00:00,Individual,True,1,0,8,,False,MrJ. Casadevall,5,MrJ. Casadevall|MrG. Bonello|MrL. Garlicki|MrsL. Mijović|MrJ. Šikuta
001-203979,905/15;12190/15;27791/15;45821/15;54752/15;62681/15;810/16;11515/16;21643/16;24481/16;27480/16;42876/16;44378/16;56029/16,CASE OF TOPOR AND OTHERS v. ROMANIA,Romania,ro,3,2020,30/07/2020 00:00:00,Multiple Applicants,True,1,0,3,,False,Stéphanie Mourou-Vikström,4,Stéphanie Mourou-Vikström|Georges Ravarani|Jolien Schukking|Liv Tigerstedt
001-80008,37326/04,CASE OF TERESZCZENKO v. POLAND,Poland,pl,5,2007,03/04/2007 00:00:00,Individual,False,0,1,,5-3,False,SirNicolas Bratza,8,SirNicolas Bratza|MrJ. Casadevall|MrG. Bonello|MrK. Traja|MrS. Pavlovschi|MrL. Garlicki|MsL. Mijović|Mr T.L. Early
001-119046,28796/07,CASE OF PETUKHOVA v. RUSSIA,Russian Federation,ru,"35, 5, 41",2013,02/05/2013 00:00:00,Individual,True,1,0,5,,True,Isabelle Berro-Lefèvre,8,Isabelle Berro-Lefèvre|Mirjana Lazarova Trajkovska|Julia Laffranque|Linos-Alexandre Sicilianos|Erik Møse|Ksenija Turković|Dmitry Dedov|Søren Nielsen
001-206901,33399/18,CASE OF PİŞKİN v. TURKEY,Turkey,tr,"35, 6, 15, 41, 8",2020,15/12/2020 00:00:00,Individual,True,2,0,"6, 8",,True,Jon Fridrik Kjølbro,8,Jon Fridrik Kjølbro|Marko Bošnjak|Aleš Pejchal|Valeriu Griţco|Branko Lubarda|Pauliine Koskelo|Saadet Yüksel|Stanley Naismith
001-58171,22275/93,CASE OF GÜNDEM v. TURKEY,Turkey,tr,"8, 5, 13, 6, 3, p1-1, 18",1998,25/05/1998 00:00:00,Individual,False,0,5,,"3, 5-1, 8, 18, 13",True,MrR. Bernhardt,2,MrR. Bernhardt|also of Mr H. Petzold
001-198465,25244/18,CASE OF N.A. v. FINLAND,Finland,fi,"2, 3",2019,14/11/2019 00:00:00,Individual,True,2,0,"2, 3",,False,Ksenija Turković,8,Ksenija Turković|Krzysztof Wojtyczek|Aleš Pejchal|Pauliine Koskelo|Tim Eicke|Jovan Ilievski|Raffaele Sabato|Abel Campos
001-100901,28157/08,CASE OF STANISZEWSKI v. POLAND,Poland,pl,6,2010,05/10/2010 00:00:00,Individual,True,1,0,6-1,,False,,0,
